7,7,7,6,7,6,40
7,7,7,6,7,-,34
7,5,7,7,4,0,30
5,6,7,1,7,3,29
7,7,7,7,-,1,29
6,1,7,7,0,7,28
7,6,7,0,7,-,27
7,5,7,0,7,-,26
5,7,7,0,7,0,26
6,5,7,-,-,7,25
7,3,7,-,0,7,24
7,6,7,4,0,0,24
7,3,7,7,0,-,24
6,5,7,6,-,-,24
0,7,7,0,6,3,23
6,7,-,4,5,0,22
4,7,7,2,0,2,22
6,1,7,1,7,-,22
7,7,7,0,1,0,22
7,7,7,-,-,-,21
5,5,7,4,-,-,21
7,7,0,7,0,0,21
7,7,7,-,-,-,21
6,3,7,5,-,0,21
7,7,-,-,6,-,20
6,0,7,1,6,-,20
7,5,7,-,-,-,19
5,3,7,3,-,-,18
6,5,7,-,-,-,18
6,5,0,-,7,-,18
7,3,1,7,0,0,18
7,3,7,0,0,1,18
6,3,7,1,0,-,17
7,3,7,-,-,-,17
7,7,0,0,3,-,17
6,3,7,-,0,-,16
7,5,0,0,3,1,16
6,-,7,0,-,3,16
7,-,7,-,-,2,16
5,1,7,0,3,-,16
7,6,-,2,1,0,16
6,2,7,0,-,-,15
5,3,7,0,0,-,15
7,1,7,-,-,0,15
7,-,7,0,-,1,15
1,7,7,0,-,0,15
6,1,7,0,-,1,15
6,-,7,1,-,-,14
6,1,-,-,-,7,14
6,2,-,1,5,-,14
7,0,7,0,-,0,14
7,7,-,0,-,0,14
7,5,-,1,1,-,14
6,4,-,-,4,-,14
7,-,7,-,-,-,14
7,7,-,-,-,-,14
7,5,1,1,0,0,14
6,0,7,0,-,0,13
6,0,7,0,-,-,13
6,7,-,-,-,-,13
3,3,7,0,-,-,13
6,7,0,0,-,0,13
6,6,-,0,-,-,12
5,7,0,-,-,-,12
5,-,7,-,-,0,12
-,3,7,-,-,2,12
5,5,-,2,-,-,12
7,3,-,0,0,2,12
6,2,0,0,4,0,12
7,4,-,0,-,1,12
4,1,7,0,-,-,12
4,-,-,-,7,-,11
4,-,7,0,-,-,11
3,7,-,0,1,-,11
3,1,7,-,-,-,11
4,1,6,0,0,0,11
6,5,0,0,-,-,11
7,2,0,2,-,0,11
7,3,-,-,-,-,10
7,2,-,1,0,-,10
7,3,-,0,-,-,10
7,2,1,0,-,-,10
7,3,-,0,-,-,10
4,2,2,2,-,0,10
7,3,0,0,-,-,10
7,3,0,0,0,0,10
0,2,7,-,-,0,9
7,2,0,0,0,0,9
0,2,7,0,-,-,9
6,3,-,-,-,-,9
7,2,-,0,-,-,9
7,2,0,-,0,-,9
5,4,-,-,-,-,9
6,1,0,0,-,2,9
7,2,-,-,-,-,9
7,2,-,-,-,0,9
7,2,0,0,-,-,9
6,3,-,-,-,-,9
7,2,-,0,-,-,9
6,3,-,0,-,-,9
7,1,-,0,-,-,8
6,2,-,-,-,-,8
7,1,-,-,-,-,8
6,2,0,0,-,0,8
7,1,0,-,-,-,8
6,2,-,0,-,0,8
6,2,0,0,0,-,8
6,1,-,1,-,0,8
5,3,-,-,-,-,8
-,6,-,1,1,0,8
5,3,-,-,-,-,8
4,3,-,0,-,1,8
6,2,-,-,0,0,8
7,1,-,-,-,-,8
7,1,-,0,-,-,8
6,0,2,0,0,0,8
3,-,5,-,-,-,8
6,2,-,0,0,0,8
7,-,-,-,-,-,7
7,-,-,0,-,-,7
-,-,7,-,-,-,7
5,2,-,0,-,-,7
5,2,0,-,-,-,7
7,-,-,-,-,-,7
0,-,7,-,-,0,7
6,1,-,-,-,-,7
7,-,-,-,-,-,7
5,2,-,-,0,-,7
0,-,7,-,-,-,7
4,3,0,-,0,0,7
4,3,0,-,-,-,7
7,-,-,0,-,-,7
4,1,0,0,2,0,7
6,1,0,0,-,0,7
6,1,0,0,-,-,7
5,2,0,0,0,0,7
6,-,-,-,-,-,6
4,2,-,-,-,-,6
4,2,-,-,0,-,6
4,2,0,-,-,-,6
6,-,-,-,-,-,6
6,-,-,-,-,-,6
6,0,-,0,-,-,6
6,-,0,0,-,0,6
5,-,1,0,0,0,6
6,0,-,-,-,0,6
6,-,-,-,-,-,6
