7,6,7,4,7,7,7,1,46
7,7,7,2,7,7,7,0,44
7,7,6,3,7,7,7,0,44
7,7,7,1,7,7,7,-,43
7,7,7,1,7,7,7,0,43
7,7,1,7,7,7,7,0,43
7,7,7,2,7,7,5,0,42
7,7,4,7,7,7,3,0,42
7,6,7,-,7,7,7,0,41
2,7,7,7,7,4,7,0,41
7,7,7,4,6,7,3,0,41
7,7,7,3,7,7,3,0,41
5,7,7,3,7,5,6,0,40
5,7,7,-,7,7,7,0,40
5,7,2,5,7,6,7,0,39
5,7,7,2,7,4,7,0,39
5,7,7,2,7,7,3,1,39
7,7,2,2,7,7,7,-,39
7,7,7,-,7,4,7,-,39
7,7,1,3,7,7,7,-,39
7,7,2,2,7,7,7,0,39
7,7,7,-,6,4,7,-,38
7,7,4,-,7,6,7,-,38
0,7,7,3,7,7,7,0,38
5,7,2,3,7,7,7,-,38
7,7,1,2,7,7,6,1,38
7,7,1,2,7,7,7,0,38
-,7,7,2,7,7,7,-,37
6,7,2,3,7,5,7,0,37
7,7,2,0,7,7,7,0,37
7,7,2,1,7,7,5,1,37
7,7,2,-,7,7,7,0,37
7,7,7,-,6,4,6,0,37
7,7,2,-,7,7,6,1,37
5,7,1,3,6,7,7,-,36
3,7,7,3,7,2,7,-,36
7,7,-,6,5,4,7,0,36
7,7,1,1,6,7,7,0,36
7,7,4,-,4,7,7,-,36
7,7,1,-,7,6,7,0,35
5,7,-,2,7,7,7,-,35
-,7,7,-,7,7,7,-,35
3,6,6,2,6,5,7,-,35
7,7,-,-,7,7,7,0,35
5,7,-,3,7,5,7,-,34
3,6,7,0,7,4,7,0,34
7,7,-,-,7,6,7,-,34
7,5,3,2,3,7,7,-,34
1,7,4,-,7,7,7,-,33
7,6,-,-,7,6,7,-,33
7,7,2,-,5,4,7,-,32
5,7,-,-,6,7,7,-,32
7,7,1,0,7,4,6,-,32
-,7,2,1,7,7,7,-,31
0,7,7,-,5,5,7,-,31
-,7,-,3,7,7,7,-,31
5,7,6,3,6,4,0,0,31
2,6,1,2,7,7,6,0,31
7,6,1,0,3,7,7,-,31
7,7,7,-,7,-,3,-,31
5,7,-,0,4,7,7,-,30
7,7,2,-,7,6,1,0,30
2,7,1,-,6,7,7,0,30
7,7,2,-,7,7,0,-,30
0,5,4,-,7,7,7,-,30
7,7,-,1,6,4,5,-,30
7,7,2,-,7,7,-,-,30
7,7,2,0,7,7,0,0,30
7,7,2,0,7,7,0,0,30
0,7,0,1,7,7,7,-,29
1,7,-,-,7,7,7,-,29
7,7,1,-,7,7,-,-,29
7,0,4,0,7,4,7,0,29
1,7,2,1,7,4,7,-,29
7,7,-,-,7,7,-,-,28
1,7,-,-,7,6,7,-,28
7,7,-,0,7,-,7,-,28
1,1,-,7,7,7,5,-,28
1,7,1,-,7,5,7,-,28
7,7,1,1,7,2,3,-,28
0,7,2,2,4,7,6,-,28
-,6,-,1,7,7,7,-,28
7,7,-,-,7,7,-,-,28
-,7,-,-,7,7,7,-,28
2,7,2,-,7,3,7,0,28
6,7,0,-,7,4,3,-,27
6,7,-,-,7,7,0,0,27
7,-,-,-,7,6,7,-,27
4,7,6,-,7,-,3,-,27
5,7,-,1,2,5,7,0,27
